"Sample Date","Test date","WRRF Name","WRRF Abbreviation","Concentration SARS-CoV-2 gene target (N1 Copies/L) ","Per capita SARS-CoV-2 load (N1 copies per day per population)","Annotation","Population Served, estimated ","Technology"
"01/27/2026","01/29/2026","26th Ward","26W",,,,"318,262","dPCR-SC2"
"01/27/2026","01/29/2026","Tallman Island","TI","8,568.00",,,"457,817","dPCR-SC2"
"01/27/2026","01/29/2026","Rockaway","RK","19,440.00",,,"117,991","dPCR-SC2"
"01/27/2026","01/29/2026","Red Hook","RH","4,204.00","1,540,000.00",,"257,556","dPCR-SC2"
"01/27/2026","01/29/2026","Port Richmond","PR","7,869.00",,,"224,516","dPCR-SC2"
"01/27/2026","01/29/2026","Owls Head","OH","4,229.00",,,"923,524","dPCR-SC2"
"01/27/2026","01/29/2026","Oakwood Beach","OB","22,073.00",,,"243,910","dPCR-SC2"
"01/27/2026","01/29/2026","Wards Island","WI","31,493.00",,"This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"01/27/2026","01/29/2026","North River","NR","22,188.00",,,"649,549","dPCR-SC2"
"01/27/2026","01/29/2026","Newtown Creek","NC","15,121.00","8,390,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"01/27/2026","01/29/2026","Jamaica Bay","JA","15,541.00",,"This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"01/27/2026","01/29/2026","Hunts Point","HP","23,743.00","14,000,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"01/27/2026","01/29/2026","Coney Island","CI","12,155.00","5,190,000.00",,"647,635","dPCR-SC2"
"01/27/2026","01/29/2026","Bowery Bay","BB","16,032.00","5,770,000.00",,"894,311","dPCR-SC2"
"01/20/2026","01/22/2026","Coney Island","CI","13,888.00","5,930,000.00",,"647,635","dPCR-SC2"
"01/20/2026","01/22/2026","Wards Island","WI","14,917.00",,"This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"01/20/2026","01/22/2026","Tallman Island","TI","7,993.00",,,"457,817","dPCR-SC2"
"01/20/2026","01/22/2026","Rockaway","RK","7,631.00","3,920,000.00",,"117,991","dPCR-SC2"
"01/20/2026","01/22/2026","Red Hook","RH","1,800.00","635,000.00",,"257,556","dPCR-SC2"
"01/20/2026","01/22/2026","Port Richmond","PR","6,050.00",,,"224,516","dPCR-SC2"
"01/20/2026","01/22/2026","Owls Head","OH","7,812.00",,,"923,524","dPCR-SC2"
"01/20/2026","01/22/2026","Oakwood Beach","OB","51,217.00",,,"243,910","dPCR-SC2"
"01/20/2026","01/22/2026","North River","NR","11,099.00",,,"649,549","dPCR-SC2"
"01/20/2026","01/22/2026","Newtown Creek","NC","24,694.00","13,100,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"01/20/2026","01/22/2026","Jamaica Bay","JA","8,102.00","2,920,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"01/20/2026","01/22/2026","Hunts Point","HP","18,509.00","10,800,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"01/20/2026","01/22/2026","Bowery Bay","BB","8,603.00","2,990,000.00",,"894,311","dPCR-SC2"
"01/20/2026","01/22/2026","26th Ward","26W","15,675.00","5,410,000.00",,"318,262","dPCR-SC2"
"01/13/2026","01/15/2026","Bowery Bay","BB","18,480.00","6,340,000.00",,"894,311","dPCR-SC2"
"01/13/2026","01/15/2026","Wards Island","WI","29,406.00","15,200,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"01/13/2026","01/15/2026","Tallman Island","TI","17,781.00",,,"457,817","dPCR-SC2"
"01/13/2026","01/15/2026","Rockaway","RK","20,584.00","11,200,000.00",,"117,991","dPCR-SC2"
"01/13/2026","01/15/2026","Red Hook","RH","19,262.00","6,510,000.00",,"257,556","dPCR-SC2"
"01/13/2026","01/15/2026","Port Richmond","PR","16,953.00",,,"224,516","dPCR-SC2"
"01/13/2026","01/15/2026","Owls Head","OH","17,443.00","5,930,000.00",,"923,524","dPCR-SC2"
"01/13/2026","01/15/2026","Oakwood Beach","OB","11,260.00",,,"243,910","dPCR-SC2"
"01/13/2026","01/15/2026","North River","NR","297,604.00","163,000,000.00",,"649,549","dPCR-SC2"
"01/13/2026","01/15/2026","Newtown Creek","NC","14,064.00","7,370,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"01/13/2026","01/15/2026","Jamaica Bay","JA","16,832.00","5,890,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"01/13/2026","01/15/2026","Hunts Point","HP","26,710.00","14,400,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"01/13/2026","01/15/2026","26th Ward","26W","35,536.00","12,300,000.00",,"318,262","dPCR-SC2"
"01/13/2026","01/15/2026","Coney Island","CI","9,902.00","4,510,000.00",,"647,635","dPCR-SC2"
"01/11/2026","01/13/2026","Oakwood Beach","OB","15,498.00",,,"243,910","dPCR-SC2"
"01/11/2026","01/13/2026","Wards Island","WI","4,970.00","2,660,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"01/11/2026","01/13/2026","Tallman Island","TI","7,447.00",,,"457,817","dPCR-SC2"
"01/11/2026","01/13/2026","Rockaway","RK","14,812.00","8,550,000.00",,"117,991","dPCR-SC2"
"01/11/2026","01/13/2026","Red Hook","RH","14,407.00","5,080,000.00",,"257,556","dPCR-SC2"
"01/11/2026","01/13/2026","Port Richmond","PR","10,280.00",,,"224,516","dPCR-SC2"
"01/11/2026","01/13/2026","Owls Head","OH","1,799.00","627,000.00",,"923,524","dPCR-SC2"
"01/11/2026","01/13/2026","North River","NR","9,350.00","4,900,000.00",,"649,549","dPCR-SC2"
"01/11/2026","01/13/2026","Newtown Creek","NC","5,610.00","2,890,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"01/11/2026","01/13/2026","Jamaica Bay","JA","2,896.00","1,090,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"01/11/2026","01/13/2026","Hunts Point","HP","11,566.00","6,440,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"01/11/2026","01/13/2026","Coney Island","CI","8,089.00","3,640,000.00",,"647,635","dPCR-SC2"
"01/11/2026","01/13/2026","Bowery Bay","BB","21,355.00","8,320,000.00",,"894,311","dPCR-SC2"
"01/11/2026","01/13/2026","26th Ward","26W","5,673.00","2,090,000.00",,"318,262","dPCR-SC2"
"01/06/2026","01/08/2026","26th Ward","26W","47,223.00","16,900,000.00",,"318,262","dPCR-SC2"
"01/06/2026","01/08/2026","Wards Island","WI","14,354.00","7,920,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"01/06/2026","01/08/2026","Tallman Island","TI","5,138.00",,,"457,817","dPCR-SC2"
"01/06/2026","01/08/2026","Rockaway","RK","2,350.00","1,360,000.00",,"117,991","dPCR-SC2"
"01/06/2026","01/08/2026","Red Hook","RH","108,592.00","39,900,000.00",,"257,556","dPCR-SC2"
"01/06/2026","01/08/2026","Port Richmond","PR","15,139.00",,,"224,516","dPCR-SC2"
"01/06/2026","01/08/2026","Owls Head","OH","5,401.00","1,790,000.00",,"923,524","dPCR-SC2"
"01/06/2026","01/08/2026","Oakwood Beach","OB","17,276.00",,,"243,910","dPCR-SC2"
"01/06/2026","01/08/2026","North River","NR","14,027.00","8,170,000.00",,"649,549","dPCR-SC2"
"01/06/2026","01/08/2026","Newtown Creek","NC","8,953.00","4,800,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"01/06/2026","01/08/2026","Jamaica Bay","JA","12,155.00","4,260,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"01/06/2026","01/08/2026","Hunts Point","HP","10,995.00","6,020,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"01/06/2026","01/08/2026","Coney Island","CI","9,858.00","3,980,000.00",,"647,635","dPCR-SC2"
"01/06/2026","01/08/2026","Bowery Bay","BB","8,026.00","2,890,000.00",,"894,311","dPCR-SC2"
"01/04/2026","01/06/2026","Coney Island","CI","2,890.00","1,200,000.00",,"647,635","dPCR-SC2"
"01/04/2026","01/06/2026","Wards Island","WI","3,320.00","1,960,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"01/04/2026","01/06/2026","Tallman Island","TI","2,280.00",,,"457,817","dPCR-SC2"
"01/04/2026","01/06/2026","Rockaway","RK","20,600.00","11,900,000.00",,"117,991","dPCR-SC2"
"01/04/2026","01/06/2026","Red Hook","RH","10,200.00","3,600,000.00",,"257,556","dPCR-SC2"
"01/04/2026","01/06/2026","Port Richmond","PR","14,500.00",,,"224,516","dPCR-SC2"
"01/04/2026","01/06/2026","Owls Head","OH",,,,"923,524","dPCR-SC2"
"01/04/2026","01/06/2026","Oakwood Beach","OB","10,100.00",,,"243,910","dPCR-SC2"
"01/04/2026","01/06/2026","North River","NR","7,020.00","3,760,000.00",,"649,549","dPCR-SC2"
"01/04/2026","01/06/2026","Newtown Creek","NC","6,720.00","3,520,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"01/04/2026","01/06/2026","Jamaica Bay","JA","3,500.00","1,300,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"01/04/2026","01/06/2026","Hunts Point","HP","16,200.00","8,940,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"01/04/2026","01/06/2026","Bowery Bay","BB","4,010.00","1,480,000.00",,"894,311","dPCR-SC2"
"01/04/2026","01/06/2026","26th Ward","26W","2,800.00","1,030,000.00",,"318,262","dPCR-SC2"
"12/28/2025","12/30/2025","Coney Island","CI","11,600.00","5,220,000.00",,"647,635","dPCR-SC2"
"12/28/2025","12/30/2025","Wards Island","WI","14,400.00","8,500,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"12/28/2025","12/30/2025","Tallman Island","TI","6,860.00","3,180,000.00",,"457,817","dPCR-SC2"
"12/28/2025","12/30/2025","Rockaway","RK",,,,"117,991","dPCR-SC2"
"12/28/2025","12/30/2025","Red Hook","RH","6,010.00","2,390,000.00",,"257,556","dPCR-SC2"
"12/28/2025","12/30/2025","Port Richmond","PR","1,860.00",,,"224,516","dPCR-SC2"
"12/28/2025","12/30/2025","Owls Head","OH","3,530.00","1,520,000.00",,"923,524","dPCR-SC2"
"12/28/2025","12/30/2025","26th Ward","26W","13,400.00","7,180,000.00",,"318,262","dPCR-SC2"
"12/28/2025","12/30/2025","Oakwood Beach","OB","5,750.00",,,"243,910","dPCR-SC2"
"12/28/2025","12/30/2025","North River","NR","4,700.00","2,870,000.00",,"649,549","dPCR-SC2"
"12/28/2025","12/30/2025","Newtown Creek","NC","3,920.00","2,310,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"12/28/2025","12/30/2025","Jamaica Bay","JA","5,130.00","2,030,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"12/28/2025","12/30/2025","Bowery Bay","BB","8,450.00","3,720,000.00",,"894,311","dPCR-SC2"
"12/28/2025","12/30/2025","Hunts Point","HP","27,000.00","16,700,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"12/21/2025","12/22/2025","Oakwood Beach","OB","89,300.00","35,900,000.00",,"243,910","dPCR-SC2"
"12/21/2025","12/22/2025","Wards Island","WI","53,200.00","28,800,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"12/21/2025","12/22/2025","Tallman Island","TI","10,300.00","5,110,000.00",,"457,817","dPCR-SC2"
"12/21/2025","12/22/2025","Rockaway","RK","2,940.00","1,600,000.00",,"117,991","dPCR-SC2"
"12/21/2025","12/22/2025","Red Hook","RH","16,800.00","5,680,000.00",,"257,556","dPCR-SC2"
"12/21/2025","12/22/2025","Port Richmond","PR","3,020.00","1,070,000.00",,"224,516","dPCR-SC2"
"12/21/2025","12/22/2025","Owls Head","OH","2,730.00","985,000.00",,"923,524","dPCR-SC2"
"12/21/2025","12/22/2025","North River","NR","8,170.00","4,480,000.00",,"649,549","dPCR-SC2"
"12/21/2025","12/22/2025","Newtown Creek","NC","3,360.00","1,700,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"12/21/2025","12/22/2025","Jamaica Bay","JA","9,280.00","3,440,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"12/21/2025","12/22/2025","Hunts Point","HP","6,380.00","3,300,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
